Rank,Country (or dependent territory),Population,Date,"% of world
population",Source
5,Ethiopia,41.67,10/24/14,2.83%,Official population clock
176,European Union,,6/20/11,0.01%,Preliminary 2011 census result
100,Fragile and conflict affected situations,,12/31/13,0.10%,Official estimate
62,Finland,36.68,7/1/13,0.24%,Official estimate
91,Fiji,,7/1/14,0.13%,Official annual projection
54,France,41.23,7/1/12,0.32%,Official estimate
69,Faroe Islands,,7/1/14,0.21%,Official annual projection
57,"Micronesia, Fed. Sts.",,7/1/12,0.28%,Official estimate
38,Gabon,,7/1/14,0.49%,Official estimate
173,United Kingdom,40.07,7/1/14,0.01%,Official annual projection
119,Georgia,47.07,7/1/14,0.07%,UN projection
72,Ghana,,7/1/14,0.18%,UN projection
60,Guinea,41.5,7/1/14,0.25%,Official annual projection
1,"Gambia, The",,10/24/14,19%,Official population clock
27,Guinea-Bissau,56.7,10/24/14,0.67%,Official population clock
165,Equatorial Guinea,,7/1/14,0.01%,Official estimate
122,Greece,42.31,7/1/14,0.06%,UN projection
120,Grenada,,7/1/13,0.07%,Official estimate
127,Greenland,,7/1/12,0.06%,Annual official estimate
76,Guatemala,57.23,12/31/13,0.16%,Annual official estimate
162,Guam,,1/1/14,0.01%,Official estimate
83,Guyana,,6/30/14,0.15%,Official quarterly estimate
19,High income,,7/1/14,0.96%,UN projection
114,"Hong Kong SAR, China",,7/1/14,0.08%,Quarterly official estimate
160,Honduras,61.13,7/1/14,0.01%,UN projection
205,Heavily indebted poor countries (HIPC),,5/14/11,0.00%,Preliminary 2011 census result
85,Croatia,39.04,2014,0.14%,Official estimate
65,Haiti,64.29,10/24/14,0.22%,Official population clock
15,Hungary,38.58,10/24/14,1.21%,Official population clock
108,Indonesia,43.65,2014,0.09%,Official estimate
153,Isle of Man,,7/1/13,0.02%,Annual official estimate
107,India,44.22,7/1/14,0.09%,UN projection
156,Not classified,,1/1/14,0.02%,Official estimate
14,Ireland,40.57,7/1/14,1.22%,Official projection
199,"Iran, Islamic Rep.",47.85,7/1/13,0.00%,Annual official estimate
161,Iraq,38.51,7/1/13,0.01%,Annual official estimate
116,Iceland,36.38,9/30/14,0.08%,Monthly official estimate
20,Israel,47.4,10/1/14,0.92%,Monthly official estimate
186,Italy,41.68,1/1/11,0.00%,Official annual estimate
152,Jamaica,,7/1/14,0.02%,UN projection
149,Jordan,42.41,4/15/13,0.03%,Preliminary 2013 census result
125,Japan,,1/1/14,0.06%,Annual official estimate
16,Kazakhstan,37.09,12/31/13,1.12%,Official estimate
45,Kenya,,7/1/14,0.38%,Official annual projection
78,Kyrgyz Republic,37.32,1/1/14,0.15%,Official estimate
208,Cambodia,40.21,7/1/14,0.00%,Annual official estimate
196,Kiribati,,5/12/11,0.00%,2011 census result
66,St. Kitts and Nevis,,6/30/14,0.22%,Official estimate
82,"Korea, Rep.",,4/2/14,0.15%,Preliminary 2014 census result
151,Kosovo,38.31,7/1/14,0.02%,UN projection
164,Kuwait,,7/1/10,0.01%,Annual official estimate
81,Latin America & Caribbean (developing only),,2014,0.15%,Official projection
94,Lao PDR,45.86,7/1/14,0.12%,Annual official estimate
88,Lebanon,,1/1/14,0.14%,Annual official estimate
181,Liberia,,10/1/14,0.00%,Official quaterly estimate
2,Libya,,10/24/14,17.50%,Population clock
4,St. Lucia,,7/1/14,3.50%,Official estimate
17,Latin America & Caribbean (all income levels),,10/24/14,1.08%,Official population clock
37,Least developed countries: UN classification,,7/1/14,0.50%,Official annual projection
121,Low income,,4/1/14,0.06%,Annual official estimate
96,Liechtenstein,,8/31/14,0.11%,Official Monthly Estimate
23,Sri Lanka,46.49,4/30/14,0.84%,Monthly official estimate
141,Lower middle income,,12/31/13,0.04%,Annual official estimate
10,Low & middle income,,10/1/14,1.77%,Monthly official estimate
106,Lesotho,58.21,10/24/14,0.09%,Official population clock
61,Lithuania,42.02,9/1/14,0.24%,Monthly official estimate
32,Luxembourg,41.86,7/1/13,0.58%,Annual official estimate
194,Latvia,42.39,7/1/13,0.00%,Annual official estimate
150,"Macao SAR, China",,2014,0.03%,Official annual projection
136,St. Martin (French part),,7/1/11,0.04%,Official estimate
113,Morocco,,2014,0.08%,Official estimate
105,Monaco,,7/1/14,0.09%,Annual official projection
148,Moldova,38.36,10/1/14,0.03%,Monthly official estimate
128,Madagascar,47.96,7/1/12,0.06%,Official estimate
144,Maldives,43.5,7/1/14,0.03%,UN projection
126,Middle East & North Africa (all income levels),,7/1/14,0.06%,UN projection
109,Mexico,54.1,7/1/14,0.09%,UN projection
216,Marshall Islands,,12/31/13,0.00%,Semi annual official estimate
139,Middle income,,10/1/14,0.04%,Monthly official estimate
171,"Macedonia, FYR",,12/31/13,0.01%,Annual official estimate
145,Mali,41.3,12/31/13,0.03%,Official estimate
56,Malta,,7/1/12,0.30%,Annual official estimate
67,Myanmar,,7/1/14,0.22%,Official annual projection
43,Middle East & North Africa (developing only),,10/24/14,0.42%,Official population clock
180,Montenegro,39.99,7/1/14,0.00%,Official estimate
68,Mongolia,41.66,7/1/14,0.22%,UN projection
174,Northern Mariana Islands,,11/20/11,0.01%,Preliminary 2011 census result
209,Mozambique,,7/1/13,0.00%,Annual official estimate
134,Mauritania,,7/1/14,0.05%,Annual official estimate
157,Mauritius,43.88,7/1/14,0.02%,Official estimate
11,Malawi,52.37,7/1/14,1.66%,Official projection
133,Malaysia,51.38,1/1/14,0.05%,Official estimate
218,North America,,12/31/13,0.00%,Annual official estimate
138,Namibia,66.44,10/24/14,0.04%,Official population clock
167,New Caledonia,,4/1/11,0.01%,Final 2011 census result
39,Niger,40.8,10/24/14,0.46%,Official population clock
49,Nigeria,48.99,7/1/14,0.35%,Annual official projection
25,Nicaragua,51.06,3/29/14,0.71%,Preliminary 2014 census result
143,Netherlands,37.07,8/28/11,0.03%,Final 2011 census result
230,High income: nonOECD,,10/30/11,0.00%,2011 census result
46,Norway,35.26,6/22/11,0.37%,Final 2011 census result
64,Nepal,41.42,10/24/14,0.23%,Official population clock
124,New Zealand,,10/24/14,0.06%,Official population clock
111,High income: OECD,,2013,0.09%,Official estimate
63,OECD members,,12/10/12,0.24%,Preliminary 2012 census result
7,Oman,,7/1/14,2.48%,UN projection[6]
50,Other small states,,7/1/14,0.35%,UN projection
,Pakistan,39.52,4/30/06,0.00%,Official census
118,Panama,56.28,7/1/14,0.07%,Quarterly official estimate
129,Peru,49.94,10/22/14,0.06%,Weekly official estimate
6,Philippines,49.64,7/1/14,2.61%,Official annual projection
225,Palau,,7/1/13,0.00%,Annual official estimate
131,Papua New Guinea,49.09,2014,0.05%,Official estimate
99,Poland,40.66,7/1/13,0.10%,Annual official estimate
104,Puerto Rico,,2014,0.10%,Official estimate
40,"Korea, Dem. People’s Rep.",,7/1/14,0.43%,Official annual projection
12,Portugal,43.17,10/24/14,1.40%,Official population clock
34,Paraguay,52.87,12/31/13,0.53%,Official estimate
84,Pacific island small states,,12/31/13,0.15%,Annual official estimate
142,French Polynesia,,9/30/14,0.03%,Monthly official estimate
59,Qatar,,1/1/14,0.28%,Annual official estimate
9,Romania,36.28,8/1/14,2.03%,Official estimate
77,Russian Federation,48.33,7/1/14,0.15%,Official annual projection
189,Rwanda,57.97,5/13/12,0.00%,2012 census result
212,South Asia,,7/1/14,0.00%,UN projection
190,Saudi Arabia,,7/1/14,0.00%,UN projection
193,Sudan,42.37,7/1/14,0.00%,UN projection
188,Senegal,46.93,11/7/11,0.00%,Final 2011 census result
219,Singapore,,8/31/14,0.00%,Monthly official estimate
41,Solomon Islands,,7/1/14,0.43%,Official annual projection
71,Sierra Leone,42.39,11/19/13,0.19%,2013 census result
102,El Salvador,48.15,1/1/14,0.10%,Annual official estimate
201,San Marino,,7/1/13,0.00%,Annual official estimate
110,Somalia,,7/1/14,0.09%,UN projection
115,Serbia,38.2,7/1/14,0.08%,Official estimate
117,Sub-Saharan Africa (developing only),,12/31/13,0.08%,Official estimate
146,South Sudan,,10/24/14,0.03%,Official population clock
170,Sub-Saharan Africa (all income levels),,7/1/13,0.01%,Annual official estimate
80,Small states,,7/1/14,0.15%,UN projection
24,Sao Tome and Principe,39.49,7/1/14,0.75%,Official estimate
26,Suriname,,7/1/14,0.70%,Official projection
,Slovak Republic,34.86,1/1/13,0.00%,Estimate
74,Slovenia,35.23,7/1/14,0.16%,Official annual projection
29,Sweden,36.23,1/1/14,0.63%,Annual official estimate
58,Swaziland,56.73,3/21/12,0.28%,Preliminary 2012 census result
35,Sint Maarten (Dutch part),,7/1/14,0.52%,Official annual projection
172,Seychelles,,8/13/12,0.01%,Preliminary 2012 census result
159,Syrian Arab Republic,,7/1/14,0.02%,Official projection
89,Turks and Caicos Islands,,8/31/14,0.14%,Monthly official estimate
97,Chad,48.81,6/30/14,0.11%,Quarterly provisional figure
55,Togo,51.61,7/1/14,0.31%,UN projection[13]
53,Thailand,46.32,9/30/14,0.33%,Monthly official estimate
98,Tajikistan,39.27,1/1/14,0.11%,Official estimate
28,Turkmenistan,,7/1/14,0.66%,Official Projection
21,Timor-Leste,,7/1/14,0.90%,Official estimate
158,Tonga,45.15,7/1/14,0.02%,Official estimate
103,Trinidad and Tobago,,7/1/14,0.10%,UN projection
197,Tunisia,42.92,11/30/11,0.00%,2011 census result
,Turkey,46.59,1/1/14,0.01%,Official estimate
154,Tuvalu,,1/9/11,0.02%,2011 census result
79,Tanzania,45.83,4/23/14,0.15%,Preliminary 2014 census result
18,Uganda,49.43,12/31/13,1.07%,Annual official estimate
112,Ukraine,35.02,10/24/14,0.08%,Official population clock
229,Upper middle income,,7/1/13,0.00%,Annual official estimate
36,Uruguay,46.9,7/1/14,0.51%,Annual official estimate
30,United States,45.75,8/1/14,0.60%,Monthly official estimate
93,Uzbekistan,,7/1/14,0.13%,UN projection
22,St. Vincent and the Grenadines,,7/1/13,0.89%,Annual official estimate
3,"Venezuela, RB",,10/24/14,4.43%,Official population clock
135,Virgin Islands (U.S.),,6/30/14,0.05%,Annual official estimate
42,Vietnam,45.7,1/1/14,0.42%,Official estimate
184,Vanuatu,44.17,7/1/13,0.00%,Annual official estimate
241,West Bank and Gaza,42.61,7/1/12,0.00%,Official estimate
44,World,,6/30/14,0.42%,Official annual projection
13,Samoa,,7/1/13,1.25%,Official estimate
169,"Yemen, Rep.",,7/1/14,0.01%,UN projection
48,South Africa,68.94,7/1/14,0.36%,Official estimate
70,"Congo, Dem. Rep.",48.37,7/1/14,0.21%,Official estimate
73,Zambia,61.05,8/17/12,0.18%,2012 Census Result
,Zimbabwe,,,,
